Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Bag/Case material (product.metafields.shopify.bag-case-material),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Neckline (product.metafields.shopify.neckline),Pants length type (product.metafields.shopify.pants-length-type),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Waist rise (product.metafields.shopify.waist-rise),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
wide-leg-linen-pants-black-copy,Linen Wide Leg Unisex Pants - Off-White,"<p>Wide leg, full length, lightweight linen — the kind of piece that works whether you're doing nothing or going somewhere. Relaxed fit through the hip and thigh, clean drape down to the ankle. No excess, no stiffness.</p>
<ul>
<li class=""font-claude-response-body whitespace-normal break-words pl-2"">100% linen</li>
<li class=""font-claude-response-body whitespace-normal break-words pl-2"">Wide leg, full length</li>
<li class=""font-claude-response-body whitespace-normal break-words pl-2"">Concealed drawstring</li>
<li class=""font-claude-response-body whitespace-normal break-words pl-2"">Elastic waistband</li>
<li class=""font-claude-response-body whitespace-normal break-words pl-2"">Relaxed fit</li>
</ul>
<p><strong>Size Chart</strong></p>
<p><strong><img src=""https://cdn.shopify.com/s/files/1/0609/9238/9206/files/Size_Chart_Template_5.png?v=1779535424"" alt=""""></strong></p>",Leveld,Apparel & Accessories > Clothing > Pants > Trousers,"","Basic, New",true,size,Small / Medium,,,,,,,,,0.0,shopify,3,deny,manual,750.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/7_4adc679e-38d7-40ac-a28b-2525f5e9198c.png?v=1779447478,1,"",false,,,204,,adult,,,,,,,,,,,,,adults,,,,linen,wide,,long,s; m; l,,female; male; unisex,,mid,,,,,,kg,,,active
wide-leg-linen-pants-black-copy,,,,,,,,,Medium / Large,,,,,,,,,0.0,shopify,0,deny,manual,750.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/1_1f8547ce-78fc-4c7f-a378-10ba1316a49b.png?v=1779447478,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
wide-leg-linen-pants-black-copy,,,,,,,,,Large / XLarge,,,,,,,,,0.0,shopify,0,deny,manual,750.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0609/9238/9206/files/8_b003f614-58fe-4c55-b65b-4340b6e9534c.png?v=1779447478,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
wide-leg-linen-pants-black-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/2_31bdffa5-5067-427e-bd13-5fc317193bee.png?v=1779447478,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wide-leg-linen-pants-black,Linen Wide Leg Unisex Pants - Black,"<p>Wide leg, full length, lightweight linen — the kind of piece that works whether you're doing nothing or going somewhere. Relaxed fit through the hip and thigh, clean drape down to the ankle. No excess, no stiffness.</p>
<ul>
<li class=""font-claude-response-body whitespace-normal break-words pl-2"">100% linen</li>
<li class=""font-claude-response-body whitespace-normal break-words pl-2"">Wide leg, full length</li>
<li class=""font-claude-response-body whitespace-normal break-words pl-2"">Concealed drawstring</li>
<li class=""font-claude-response-body whitespace-normal break-words pl-2"">Elastic waistband</li>
<li class=""font-claude-response-body whitespace-normal break-words pl-2"">Relaxed fit</li>
</ul>
<p><strong>Size Chart</strong></p>
<p><strong><img src=""https://cdn.shopify.com/s/files/1/0609/9238/9206/files/Size_Chart_Template_5.png?v=1779535424"" alt=""""></strong></p>",Leveld,Apparel & Accessories > Clothing > Pants > Trousers,"","Basic, New",true,size,Small / Medium,,,,,,,,,0.0,shopify,0,deny,manual,750.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0609/9238/9206/files/3_a7b8f564-7715-47a7-bdbc-a1b5ec4ea049.png?v=1779446779,1,"",false,,,204,,adult,,,,,,,,,,,,,adults,,,black,linen,wide,,long,s; m; l,,female; male; unisex,,mid,,,,,,kg,,,active
wide-leg-linen-pants-black,,,,,,,,,Medium / Large,,,,,,,,,0.0,shopify,0,deny,manual,750.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0609/9238/9206/files/5_46d09f99-7a36-4a34-bd2c-534917fd08e1.png?v=1779478259,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
wide-leg-linen-pants-black,,,,,,,,,Large / XLarge,,,,,,,,,0.0,shopify,0,deny,manual,750.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0609/9238/9206/files/4_e314d109-4312-443b-b92d-18b727182bd8.png?v=1779446779,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
wide-leg-linen-pants-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/6_369492dd-3a1a-4128-bd54-cb898f97ec2a.png?v=1779478259,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baggy-unisex-wide-leg-summer-sweatpants-black-copy,Baggy Unisex Wide Leg Summer Sweatpants - Burgundy,"<p>Essential wide-leg sweatpants designed for everyday wear. Baggy, comfy, and unisex, made with premium fabric for a relaxed fit that feels effortless. A summer essential built for confidence, comfort, and style.</p>
<blockquote>
<ul>
<li><span class=""s1"">100% Cotton – Light</span></li>
<li>Side-seamed construction</li>
<li>5-thread stitching</li>
</ul>
</blockquote>
<h4>Size Chart</h4>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0609/9238/9206/files/Size_Chart_Template.png?v=1762595512""></p>",Leveld,Apparel & Accessories > Clothing > Activewear > Activewear Pants > Sweatpants,Wide Leg Sweatpants,"Basic, New",true,Size,s,product.metafields.shopify.size,,,,,,,BG-SWT-BLK-S,100.0,shopify,1,deny,manual,999.00,,true,false,,,,,'11904141506934,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/Untitleddesign_2_447e5345-26a8-4361-bfae-1efc6ef83176.png?v=1778871793,1,"",false,,,,,,,,,,,,,,,,breathable-design; temperature-regulation; adjustable-waistband,universal,,,,burgundy,cotton,,,long,s; m; l; xl; 2xl,,unisex,,mid,,,,,,kg,,,active
baggy-unisex-wide-leg-summer-sweatpants-black-copy,,,,,,,,,m,,,,,,,,BG-SWT-BLK-M,100.0,shopify,0,deny,manual,999.00,,true,false,,,,,'11904141639702,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/hf_20260516_214514_e04aeba4-41ef-48b6-a4f5-417bd6b5a650.png?v=1778968330,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
