ProcurementKey,DateKey,SupplierKey,ProductKey,QuantityRequested,UnitCost,TotalCost,LeadTimeDays,ReceivedDateKey,Status
1,20230224,1,1,470,549.45,258241.50000000003,6.0,20230302.0,Received
2,20230417,1,1,470,549.45,258241.50000000003,10.0,20230427.0,Received
3,20230705,1,1,470,549.45,258241.50000000003,5.0,20230710.0,Received
4,20230821,1,1,470,549.45,258241.50000000003,6.0,20230827.0,Received
5,20231115,1,1,470,549.45,258241.50000000003,9.0,20231124.0,Received
6,20240107,1,1,470,549.45,258241.50000000003,,,Confirmed
7,20240315,1,1,470,549.45,258241.50000000003,11.0,20240326.0,Received
8,20240509,1,1,470,549.45,258241.50000000003,7.0,20240516.0,Received
9,20240721,1,1,470,549.45,258241.50000000003,5.0,20240726.0,Received
10,20240918,1,1,470,549.45,258241.50000000003,10.0,20240928.0,Received
11,20241103,1,1,470,549.45,258241.50000000003,8.0,20241111.0,Received
12,20241224,1,1,470,549.45,258241.50000000003,11.0,20250104.0,Received
13,20250309,1,1,470,549.45,258241.50000000003,9.0,20250318.0,Received
14,20250505,1,1,470,549.45,258241.50000000003,10.0,20250515.0,Received
15,20250715,1,1,470,549.45,258241.50000000003,5.0,20250720.0,Received
16,20250901,1,1,470,549.45,258241.50000000003,9.0,20250910.0,Received
17,20251107,1,1,470,549.45,258241.50000000003,11.0,20251118.0,Received
18,20230225,1,2,50,549.45,27472.500000000004,11.0,20230308.0,Received
19,20230421,1,2,50,549.45,27472.500000000004,5.0,20230426.0,Received
20,20230626,1,2,50,549.45,27472.500000000004,6.0,20230702.0,Received
21,20230811,1,2,50,549.45,27472.500000000004,11.0,20230822.0,Received
22,20231003,1,2,50,549.45,27472.500000000004,9.0,20231012.0,Received
23,20231120,1,2,50,549.45,27472.500000000004,8.0,20231128.0,Received
24,20240216,1,2,50,549.45,27472.500000000004,9.0,20240225.0,Received
25,20240504,1,2,50,549.45,27472.500000000004,5.0,20240509.0,Received
26,20240731,1,2,50,549.45,27472.500000000004,7.0,20240807.0,Received
27,20241017,1,2,50,549.45,27472.500000000004,11.0,20241028.0,Received
28,20241209,1,2,50,549.45,27472.500000000004,6.0,20241215.0,Received
29,20250211,1,2,50,549.45,27472.500000000004,9.0,20250220.0,Received
30,20250404,1,2,50,549.45,27472.500000000004,8.0,20250412.0,Received
31,20250527,1,2,50,549.45,27472.500000000004,6.0,20250602.0,Received
32,20250801,1,2,50,549.45,27472.500000000004,11.0,20250812.0,Received
33,20250922,1,2,50,549.45,27472.500000000004,11.0,20251003.0,Received
34,20251115,1,2,50,549.45,27472.500000000004,7.0,20251122.0,Received
35,20260101,1,2,50,549.45,27472.500000000004,7.0,20260108.0,Received
36,20230227,1,3,50,549.45,27472.500000000004,11.0,20230310.0,Received
37,20230506,1,3,50,549.45,27472.500000000004,6.0,20230512.0,Received
38,20230726,1,3,50,549.45,27472.500000000004,7.0,20230802.0,Received
39,20230925,1,3,50,549.45,27472.500000000004,11.0,20231006.0,Received
40,20231130,1,3,50,549.45,27472.500000000004,5.0,20231205.0,Received
41,20240120,1,3,50,549.45,27472.500000000004,5.0,20240125.0,Received
42,20240323,1,3,50,549.45,27472.500000000004,6.0,20240329.0,Received
43,20240620,1,3,50,549.45,27472.500000000004,6.0,20240626.0,Received
44,20240917,1,3,50,549.45,27472.500000000004,7.0,20240924.0,Received
45,20241105,1,3,50,549.45,27472.500000000004,8.0,20241113.0,Received
46,20241227,1,3,50,549.45,27472.500000000004,9.0,20250105.0,Received
47,20250228,1,3,50,549.45,27472.500000000004,7.0,20250307.0,Received
48,20250501,1,3,50,549.45,27472.500000000004,10.0,20250511.0,Received
49,20250722,1,3,50,549.45,27472.500000000004,6.0,20250728.0,Received
50,20250907,1,3,50,549.45,27472.500000000004,6.0,20250913.0,Received
51,20251022,1,3,50,549.45,27472.500000000004,5.0,20251027.0,Received
52,20260118,1,3,50,549.45,27472.500000000004,,,Cancelled
53,20230309,1,4,50,549.45,27472.500000000004,7.0,20230316.0,Received
