SalesKey,DateKey,CustomerKey,ProductKey,SupplierKey,ChannelKey,OrderNumber,Quantity,UnitPrice,UnitCost,DiscountAmount,GrossRevenue,COGS,NetProfit,FinancialStatus,FulfillmentStatus,PaymentMethod,RiskLevel
11489,20260131,49,67,1,1,#SYN-10001,1,250.0,130.0,25.0,250.0,130.0,95.0,paid,fulfilled,Credit Card,Low
11490,20250222,49,5,1,1,#SYN-10002,1,450.0,272.06165413533836,0.0,450.0,272.06165413533836,177.93834586466164,paid,fulfilled,Cash on Delivery (COD),Low
11491,20241130,2515,1,1,1,#SYN-10003,1,999.0,549.45,0.0,999.0,549.45,449.54999999999995,paid,fulfilled,Credit Card,Low
11492,20240123,2515,356,1,1,#SYN-10004,1,600.0,426.94279937834386,0.0,600.0,426.94279937834386,173.05720062165614,paid,fulfilled,Cash on Delivery (COD),Low
11493,20260109,2515,649,1,2,#SYN-10005,1,320.0,176.0,0.0,320.0,176.0,144.0,paid,fulfilled,Cash on Delivery (COD),Low
11494,20230926,49,1,1,1,#SYN-10006,1,999.0,549.45,0.0,999.0,549.45,449.54999999999995,paid,fulfilled,Cash on Delivery (COD),Low
11495,20240115,49,1,1,1,#SYN-10007,1,999.0,549.45,0.0,999.0,549.45,449.54999999999995,paid,fulfilled,Cash on Delivery (COD),Low
11496,20240212,3384,1,1,1,#SYN-10008,1,999.0,549.45,0.0,999.0,549.45,449.54999999999995,paid,fulfilled,Cash on Delivery (COD),Low
11497,20241114,3384,223,1,1,#SYN-10009,1,500.0,405.0,0.0,500.0,405.0,95.0,paid,fulfilled,Cash on Delivery (COD),Low
11498,20241114,3384,3,1,2,#SYN-10009,1,999.0,549.45,99.9,999.0,549.45,349.65,paid,fulfilled,Cash on Delivery (COD),Low
11499,20240705,3384,1,1,2,#SYN-10010,1,999.0,549.45,0.0,999.0,549.45,449.54999999999995,paid,fulfilled,Cash on Delivery (COD),Low
11500,20240710,49,1,1,2,#SYN-10011,1,999.0,549.45,0.0,999.0,549.45,449.54999999999995,paid,fulfilled,Cash on Delivery (COD),Low
11501,20240710,49,1,1,2,#SYN-10011,1,999.0,549.45,99.9,999.0,549.45,349.65,paid,fulfilled,Cash on Delivery (COD),Low
11502,20240710,49,1,1,1,#SYN-10011,1,999.0,549.45,0.0,999.0,549.45,449.54999999999995,paid,fulfilled,Cash on Delivery (COD),Low
11503,20241114,49,1,1,1,#SYN-10012,1,999.0,549.45,0.0,999.0,549.45,449.54999999999995,paid,fulfilled,Cash on Delivery (COD),Low
11504,20250809,2515,1,1,3,#SYN-10013,1,999.0,549.45,0.0,999.0,549.45,449.54999999999995,paid,fulfilled,Cash on Delivery (COD),Low
11505,20250809,2515,1,1,1,#SYN-10013,1,999.0,549.45,0.0,999.0,549.45,449.54999999999995,paid,fulfilled,Cash on Delivery (COD),Low
11506,20250809,2515,395,1,1,#SYN-10013,1,799.0,439.45000000000005,0.0,799.0,439.45000000000005,359.54999999999995,paid,fulfilled,Cash on Delivery (COD),Low
